timestamp,symbol,side,price,quantity,order_id,api_response,pnl,signal_reason,strategy_state
2026-03-18T11:11:55.821734,BTC/USD,HOLD,73979.98,0,,,,SVM prediction based on SMA features,"{'sma3': 74258.00333333334, 'sma10': 71684.519, 'momentum': 0.0009554946761816818, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:12:06.065546,BTC/USD,HOLD,73979.99,0,,,,SVM prediction based on SMA features,"{'sma3': 74258.00666666667, 'sma10': 71684.51999999999, 'momentum': 0.000955629977042213, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:12:16.345983,BTC/USD,HOLD,73974.75,0,,,,SVM prediction based on SMA features,"{'sma3': 74256.26, 'sma10': 71683.996, 'momentum': 0.0008847323261898008, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:12:26.585464,BTC/USD,HOLD,73964.84,0,,,,SVM prediction based on SMA features,"{'sma3': 74252.95666666667, 'sma10': 71683.00499999999, 'momentum': 0.0007506491735281692, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:12:36.839098,BTC/USD,HOLD,73964.84,0,,,,SVM prediction based on SMA features,"{'sma3': 74252.95666666667, 'sma10': 71683.00499999999, 'momentum': 0.0007506491735281692, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:12:47.090180,BTC/USD,HOLD,73964.85,0,,,,SVM prediction based on SMA features,"{'sma3': 74252.96, 'sma10': 71683.006, 'momentum': 0.0007507844743887004, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:12:57.362620,BTC/USD,HOLD,73964.85,0,,,,SVM prediction based on SMA features,"{'sma3': 74252.96, 'sma10': 71683.006, 'momentum': 0.0007507844743887004, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:13:07.636156,BTC/USD,HOLD,73964.85,0,,,,SVM prediction based on SMA features,"{'sma3': 74252.96, 'sma10': 71683.006, 'momentum': 0.0007507844743887004, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:13:17.882389,BTC/USD,HOLD,73964.84,0,,,,SVM prediction based on SMA features,"{'sma3': 74252.96, 'sma10': 71683.006, 'momentum': 0.0007507844743887004, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:13:28.157688,BTC/USD,HOLD,73954.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74249.34333333334, 'sma10': 71681.921, 'momentum': 0.0006039830408489455, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:13:38.427323,BTC/USD,HOLD,73974.42,0,,,,SVM prediction based on SMA features,"{'sma3': 74256.15333333334, 'sma10': 71683.96399999999, 'momentum': 0.0008804026986567389, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:13:48.690595,BTC/USD,HOLD,73968.38,0,,,,SVM prediction based on SMA features,"{'sma3': 74254.13666666667, 'sma10': 71683.359, 'momentum': 0.0007985456781117314, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:13:58.973707,BTC/USD,HOLD,73968.38,0,,,,SVM prediction based on SMA features,"{'sma3': 74254.13666666667, 'sma10': 71683.359, 'momentum': 0.0007985456781117314, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:14:09.274162,BTC/USD,HOLD,73955.15,0,,,,SVM prediction based on SMA features,"{'sma3': 74249.72666666667, 'sma10': 71682.036, 'momentum': 0.0006195426397954684, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:14:19.542677,BTC/USD,HOLD,73938.12,0,,,,SVM prediction based on SMA features,"{'sma3': 74244.05, 'sma10': 71680.333, 'momentum': 0.00038912527452537486, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:14:29.792709,BTC/USD,HOLD,73938.12,0,,,,SVM prediction based on SMA features,"{'sma3': 74244.05, 'sma10': 71680.333, 'momentum': 0.00038912527452537486, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:14:40.057135,BTC/USD,HOLD,73938.11,0,,,,SVM prediction based on SMA features,"{'sma3': 74244.05, 'sma10': 71680.333, 'momentum': 0.00038912527452537486, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:14:50.370741,BTC/USD,HOLD,73945.21,0,,,,SVM prediction based on SMA features,"{'sma3': 74246.41333333333, 'sma10': 71681.04199999999, 'momentum': 0.00048505358455283365, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:15:00.757907,BTC/USD,HOLD,73955.76,0,,,,SVM prediction based on SMA features,"{'sma3': 74249.93, 'sma10': 71682.097, 'momentum': 0.0006277959922801953, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:15:10.999004,BTC/USD,HOLD,73955.75,0,,,,SVM prediction based on SMA features,"{'sma3': 74249.92666666667, 'sma10': 71682.09599999999, 'momentum': 0.000627660691419861, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:15:21.274813,BTC/USD,HOLD,73955.76,0,,,,SVM prediction based on SMA features,"{'sma3': 74249.93, 'sma10': 71682.097, 'momentum': 0.0006277959922801953, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:15:31.548546,BTC/USD,HOLD,73976.71,0,,,,SVM prediction based on SMA features,"{'sma3': 74256.91333333333, 'sma10': 71684.192, 'momentum': 0.0009112512948293128, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:15:41.847005,BTC/USD,HOLD,73985.45,0,,,,SVM prediction based on SMA features,"{'sma3': 74259.82666666666, 'sma10': 71685.06599999999, 'momentum': 0.0010295042468233592, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
